Origem Viagem Ida;Cidade
fff81139a7dd8a3a48f462347a5611b8e0b84258237d5d3d8c95204f3bb6e3f0;São Paulo
ffd560d182369b08a8b3ed35cfa5ee3cc50b5b5f093ece3139181709813896c3;Rio de Janeiro
ff9d27a58b7bc55adad6a33b619ac4817bc83a819e71d2c5215a545aa842171b;Brasília[nota 1]
ff9511e0254eff335c36f63ba9bc3ed3185a4203ff3d813ce850a6ddcb009348;Fortaleza
ff805620597e92258a4fdf2324268ecb9704a8d0600924efc10ff253eddeab01;Salvador
ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a;Belo Horizonte
ff49a4f6ed54f15fa0954b265ad056a6f0fdab175ac8a1c3eb0a98a38e46da3d;Manaus
ff2ccb6ba423d356bd549ed4bfb76e96976a0dcde05a09996a1cdb9f83422ec4;Curitiba
fed88b40aba63cac05eadd5db0088c036005ec235c7be6fd87d656946b733332;Recife
fea8344c6c192a73125b6b1469b96dd2944ec2e6206e0dbab867e910da7ace17;Goiânia
fea0c15bfd199fdd642c9df47989df37c089cad27e83aecacedfefe369a93881;Porto Alegre
fe7c8b93142029fafe356ee9b2dd09766e6f266141c0c1340b262fc633c16e10;Belém
fe50b64954720ccb97ff36a6bd105b6c6018565eea17352a8e1c095204ff4e62;Guarulhos
fdf4d5b05e179bad0cc4df5ac6fa7c82b290e44321da00abdf04521e78bd8076;Campinas
fdd25b9aeb3d9e6280b54270177d99d06f9a0c8d7fb526d40a9569382ed395b3;São Luís
fda3f9dbfd08f12e44bf1279fcb909ac6179fbcc69bc95af0f03cc7093aa4eb6;Maceió
fd53efd8940f305f79e212dc2e0a557d23eab8f2f60fbf219e19e3351b68e732;Campo Grande
fd36d80fe16f0daad18e6cecdef36628667562afc9599540b005c7cb3310f838;São Gonçalo
fd242859bc18ffbb2b9c9bdb1ce4d1c464a3c6b43a47cac42cab7b6030152143;Teresina
fd21cc3cb5062bc4ac714c489e1ca0e37a577c19ba23b0d00e9767f598d37636;João Pessoa
fcfe44d0a0769b1a6afa0eea94563a08ade904cab4ba0753201d1f8cb182786b;São Bernardo do Campo
fcf1e4bf9cc9c1083647b91463e86f49c6961406c37055c7eb8ad13937a519db;Duque de Caxias
fce86e339dc3131c489202ec3b6c8d4319c61f152b3541ba0e4141e5d5c3fac3;Nova Iguaçu
fcd3ea094503446af61291a741292e480275f1f5c9f4660ebcf885880a2109fe;Natal
fc952bb014fc5706d37a69df457c83637959ff94fac3a822d96a8af0b3a3c597;Santo André
fc72c98a6c2916c1bbf9f39fce094f5785bb6f1d656971520b660b2e8a760fe3;Osasco
fc71f2d6d38dbfc752ecaf2262916dc8ad99a34243d47b34691f9f8a3afaeffd;Sorocaba
fc70db0a12d574a3a3b2331e5b1b77f1f7d4086daebbf8521c8e6892cbd0abce;Uberlândia
fc61dd3e648333d1c1133dde787c624ec4cfbac64912876c3fc5f80b5ab883bd;Ribeirão Preto
fc56dbc6d4652b315b86b71c8d688c1ccdea9c5f1fd07763d2659fde2e2fc49a;São José dos Campos
fc4fb94d36f45aa9d13358022455e55db4b6f0eb536a1b2897c90dfd3df9eb9b;Cuiabá
fc47b34e36f4032acd1ca2192a7b9b097011ccbfe3d8e27b04bb6999e000578d;Jaboatão dos Guararapes
fc2e2a17ba96875c6cbe3b152e616c1a9348bb8a4a6aceba1745735d5763f925;Contagem
fc0acc74b0ae025e2e0e1ff42d3d56d838073996715b84d3b900b6a3f011fccf;Joinville
fc091d39524c9d4b5b11f84f9132996a94ca01c9816d2db3b866bef1b0699d91;Feira de Santana
fbfd6393c2b37ff4ef7c9fd72aa259d6651e064a98825c102cc296c53fc00e54;Aracaju
fbef6f1ef766d1016348a6423912b6774aec7c66b568d34158c50794dce8be28;Londrina
fbe697429f16141bc71e3b91f3823641c8dd258dd58bf076241514754954cb8c;Juiz de Fora
fbe10beedf9d29cf53137ba38859ffd1dbe7642cedb7ef0a102a3ab109b47842;Florianópolis
fbc1f6898b3fd1d2d806fcb944fe535ff5f4a1d973d8ef218558dd2e9ae526a3;Aparecida de Goiânia
fbb2a73b0bacf3953186a92029e3e9b130373a9ff1449407e6125b3481f4f0ca;Serra
fb937217a0d04da5939ae57522cc743b370857cd9e617c378a538a4a5a24da74;Campos dos Goytacazes
fb8a0d2da8683cec6cc64542f95ae11e085c72d56c744b2be5be335295976610;Belford Roxo
fb87e6cf60af08595bd9fcf1f006a12f1338cb4480acea383b3b65da10bb9f28;Niterói
fb84a9739699e1a2c6c56b5baa0a16047a4d845a5c6615ab9e18bafe688f45d6;São José do Rio Preto
fb5316204aa75301303e70a2e9555cf9cbb1457356a041dd58a88e003aca9142;Ananindeua
fb4a379d44cab4220bc5596ffa1f8eb9b169ba098d2c98b20d110881c92b9299;Vila Velha
fb15ed71f582968fec5d17c1481180606536935a7cac5bb8f905cf3000c82587;Caxias do Sul
fadb90c1c496f050cefd944c8b563eb41fd49d0446dcde257a16d311d5b2a81e;Porto Velho
fabf5b7fedb3e62a81c9298b19706249ee128011bf9d94867681020c16f8b741;Mogi das Cruzes
fa9b1cc5d156de5b6ebd583ff1fe2c178fb1bacba5af7bf929cf51654a44e394;Jundiaí
fa86c63b0d4afca3891d0986470c5fe3570c77e405f0625e7579e33f58b13ddb;Macapá
